review_text,rating,date
"Delivery was super fast, arrived a day early and packaging was solid.",5,2026-01-03
"The product quality is great but it took almost two weeks to arrive, way too slow.",3,2026-01-05
"Terrible experience. Customer support never responded to my emails about a damaged item.",1,2026-01-07
"Love the build quality, feels premium for the price point.",5,2026-01-09
"App UI is confusing, took me forever to find the checkout button.",2,2026-01-10
"Packaging was crushed on arrival, item inside was fine but box was a mess.",3,2026-01-12
"Price is a bit high compared to competitors but the quality justifies it.",4,2026-01-13
"Customer support was incredibly helpful and resolved my issue within minutes.",5,2026-01-15
"Website UI keeps freezing during checkout on mobile, very frustrating.",2,2026-01-16
"Average product, nothing special, delivery was on time though.",3,2026-01-18
"Absolutely disappointed with the quality, item broke after two days of use.",1,2026-01-20
"Great value for money, and the app is intuitive and easy to navigate.",5,2026-01-21
"Shipping took over three weeks and support was unresponsive when I asked for updates.",1,2026-01-23
"Packaging could be improved, arrived a bit dented but product itself works well.",3,2026-01-25
"Excellent quality and the new UI redesign makes shopping so much easier.",5,2026-01-27
